ticker,name,market,close,change_pct,marcap,per,pbr,eps,ma5,ma20,golden_cross,near_52w_high,volume_surge,per_ok,pbr_ok,foreign_consec,inst_turn,vol_ratio,pct_from_52w_high,momentum_20d,rsi,score,score_foreign_consec,score_inst_turn,score_volume_surge,score_golden_cross,score_near_52w_high,score_momentum_20d,score_per_score,score_pbr_score,score_eps_growth
319660,피에스케이,KOSDAQ GLOBAL,145800.0,5.5,4223346901200.0,13.61,1.98,2712.0,127220.0,107935.52631578948,True,True,True,True,True,5,False,2.107348769172633,-0.49751243781092547,92.67873661953219,79.0,71.1,20.0,0,8.30511576879475,10,9.751243781094537,10.0,7.037333333333334,6.04,0.0
95610,테스,KOSDAQ,173400.0,7.43,3357024000000.0,15.44,2.02,2885.0,148280.0,126051.57894736843,True,True,True,True,True,5,False,1.6787492476854562,-0.4975124378109287,100.0,76.9,67.4,20.0,0,5.0906193576409215,10,9.751243781094535,10.0,6.549333333333333,5.96,0.0
69960,현대백화점,KOSPI,170900.0,2.46,3685443460800.0,9.65,0.42,9177.0,154520.0,126328.68421052632,True,True,False,True,True,5,False,1.1502141529169814,-0.49751243781092847,100.0,87.7,63.6,20.0,0,1.1266061468773603,10,9.751243781094537,10.0,7.906666666666667,4.84,0.0
161390,한국타이어앤테크놀로지,KOSPI,70600.0,-3.29,8745579871400.0,6.63,0.59,8795.0,70060.0,64856.57894736843,True,True,False,True,True,5,False,1.086492743068233,-0.49751243781092486,20.149761742682102,100.0,62.7,20.0,0,0.6486955730117472,10,9.751243781094537,10.0,7.101333333333333,5.18,0.0
9150,삼성전기,KOSPI,1805000.0,-8.38,134822121280000.0,28.02,2.02,9099.0,1782400.0,1489181.5789473685,True,True,False,True,True,5,False,0.8204616502350791,-0.4975124378109325,56.92922969918275,100.0,58.9,20.0,0,0.0,10,9.751243781094534,10.0,3.1946666666666665,5.96,0.0
55550,신한지주,KOSPI,98200.0,-2.96,46611058250200.0,7.62,0.63,10085.0,100820.0,97163.94736842105,True,True,False,True,True,5,False,1.029833735506797,-5.538048350667374,3.772587974215358,60.0,52.0,20.0,0,0.22375301630097766,10,7.230975824666313,1.886293987107679,7.365333333333333,5.26,0.0
810,삼성화재,KOSPI,616000.0,-5.95,27502843368000.0,12.21,0.99,40703.0,673200.0,604531.5789473684,True,True,False,True,True,5,False,1.0333520001366205,-16.082239405382712,9.686609686609682,57.5,50.4,20.0,0,0.25014000102465406,10,1.9588802973086439,4.843304843304841,7.410666666666667,5.98,0.0
105560,KB금융,KOSPI,154000.0,-0.52,54621911036000.0,8.25,0.76,15116.0,159220.0,156569.73684210525,True,True,False,True,True,5,False,0.9505229166009923,-6.814746505855533,-1.7042190591689543,45.4,49.6,20.0,0,0.0,10,6.5926267470722335,0.0,7.533333333333333,5.5200000000000005,0.0
402340,SK스퀘어,KOSPI,1183000.0,-6.78,156106770638000.0,5.54,1.76,66468.0,1237800.0,1203757.894736842,True,True,False,True,True,5,False,0.797463871484984,-8.934362690647012,-1.2438433926037273,47.5,48.8,20.0,0,0.0,10,5.532818654676495,0.0,6.810666666666666,6.48,0.0
34730,SK,KOSPI,579000.0,-2.53,41979065037000.0,11.73,0.56,21863.0,607600.0,604481.5789473684,True,True,False,True,True,5,False,0.8153628079141939,-9.443665044785487,-6.265177270519673,38.4,47.9,20.0,0,0.0,10,5.278167477607257,0.0,7.538666666666667,5.12,0.0
660,SK하이닉스,KOSPI,2048000.0,-7.54,1459614443520000.0,11.04,3.73,58955.0,2108400.0,2064663.1578947369,True,True,False,True,True,5,False,0.8113879778131531,-6.039701896272969,-0.16087359235607002,49.5,47.2,20.0,0,0.0,10,6.980149051863515,0.0,7.722666666666667,2.54,0.0
5930,삼성전자,KOSPI,302500.0,-6.06,1768499278920000.0,18.27,1.87,6564.0,320100.0,308628.947368421,True,True,False,True,True,5,False,0.7706551831510177,-10.869107232566792,-1.1922260329903622,48.1,46.6,20.0,0,0.0,10,4.565446383716604,0.0,5.794666666666666,6.26,0.0
