ticker,name,market,close,change_pct,marcap,per,pbr,eps,ma5,ma20,golden_cross,near_52w_high,volume_surge,per_ok,pbr_ok,foreign_consec,inst_turn,vol_ratio,pct_from_52w_high,momentum_20d,rsi,score,score_foreign_consec,score_inst_turn,score_volume_surge,score_golden_cross,score_near_52w_high,score_momentum_20d,score_per_score,score_pbr_score,score_eps_growth
033780,KT&G,KOSPI,186200.0,-0.49,18862359855200.0,15.84,1.59,8973.0,182540.0,177500.0,True,True,False,True,True,5,False,0.05477234060047183,-3.2224532224532227,11.430281268701382,52.5,57.4,20.0,0,0.0,10,8.388773388773389,5.715140634350691,6.442666666666667,6.82,0.0
078930,GS,KOSPI,88600.0,-4.48,8128355812500.0,6.68,0.36,8434.0,91320.0,82255.0,True,True,False,True,True,5,False,0.04015768365638736,-11.22244488977956,21.36986301369863,64.1,56.2,20.0,0,0.0,10,4.38877755511022,10.0,7.1146666666666665,4.72,0.0
111770,영원무역,KOSPI,87700.0,-0.46,3828510835200.0,7.36,0.85,11109.0,87240.0,84935.0,True,True,False,True,True,5,False,0.0273974463461016,-15.01937984496124,18.194070080862534,55.5,54.6,20.0,0,0.0,10,2.49031007751938,9.097035040431267,7.296,5.7,0.0
086790,하나금융지주,KOSPI,126100.0,-5.82,33747233004000.0,6.67,0.57,14110.0,128520.0,128415.0,True,True,False,True,True,5,False,0.048704307566186475,-11.508771929824562,8.333333333333325,55.4,50.7,20.0,0,0.0,10,4.245614035087719,4.1666666666666625,7.112,5.14,0.0
138040,메리츠금융지주,KOSPI,120400.0,-5.97,19763712941300.0,8.91,1.84,12698.0,120800.0,115275.0,True,True,False,True,True,5,False,0.06432040320458288,-19.626168224299064,12.628624883068284,58.2,50.5,20.0,0,0.0,10,0.1869158878504673,6.314312441534142,7.709333333333333,6.319999999999999,0.0
