ticker,name,market,close,change_pct,marcap,per,pbr,eps,ma5,ma20,golden_cross,near_52w_high,volume_surge,per_ok,pbr_ok,foreign_consec,inst_turn,vol_ratio,pct_from_52w_high,momentum_20d,rsi,score,score_foreign_consec,score_inst_turn,score_volume_surge,score_golden_cross,score_near_52w_high,score_momentum_20d,score_per_score,score_pbr_score,score_eps_growth
031980,피에스케이홀딩스,KOSDAQ,156900.0,15.37,3350796183000.0,10.89,1.97,4252.0,135420.0,127110.0,True,True,False,True,True,5,False,0.6582685351790235,-0.6333122229259025,55.96421471172963,57.0,63.5,20.0,0,0.0,10,9.683343888537049,10.0,7.762666666666666,6.06,0.0
319660,피에스케이,KOSDAQ,193500.0,11.98,5767272757400.0,13.61,1.98,2712.0,179960.0,155665.0,True,True,False,True,True,5,False,0.4621370360863246,-3.970223325062035,113.57615894039736,67.1,61.1,20.0,0,0.0,10,8.014888337468983,10.0,7.037333333333334,6.04,0.0
095610,테스,KOSDAQ GLOBAL,206500.0,18.81,4133360000000.0,15.44,2.02,2885.0,179620.0,164795.0,True,True,False,True,True,5,False,0.7764406421643255,-3.7296037296037294,97.4187380497132,61.6,60.6,20.0,0,0.0,10,8.135198135198134,10.0,6.549333333333333,5.96,0.0
069960,현대백화점,KOSPI,201500.0,7.38,4485501696000.0,9.65,0.42,9177.0,196060.0,180700.0,True,True,False,True,True,5,False,0.2861410731503933,-9.234234234234235,65.43513957307061,65.0,58.1,20.0,0,0.0,10,5.382882882882882,10.0,7.906666666666667,4.84,0.0
034730,SK,KOSPI,783000.0,1.27,57639648885000.0,11.73,0.56,21863.0,790600.0,685000.0,True,True,False,True,True,5,False,0.3530226925851585,-11.325028312570781,17.215568862275443,72.5,55.6,20.0,0,0.0,10,4.337485843714609,8.607784431137722,7.538666666666667,5.12,0.0
009150,삼성전기,KOSPI,2188000.0,3.93,158201248128000.0,28.02,2.02,9099.0,2036000.0,1959550.0,True,True,False,True,True,5,False,0.4422654130033595,-9.47455523376086,20.68394925537782,65.7,54.4,20.0,0,0.0,10,5.26272238311957,10.0,3.1946666666666665,5.96,0.0
003490,대한항공,KOSPI,27750.0,0.0,10439055739350.0,10.68,0.76,2111.0,28120.0,26960.0,True,True,False,True,True,5,False,0.25015283185080756,-11.057692307692307,9.683794466403173,57.6,52.7,20.0,0,0.0,10,4.471153846153847,4.841897233201586,7.818666666666667,5.5200000000000005,0.0
089970,브이엠,KOSDAQ,111700.0,6.69,2804189834000.0,29.68,4.43,1018.0,103740.0,87915.0,True,True,False,True,True,5,False,0.31021637029636,-3.9552880481513326,106.08856088560886,67.2,51.9,20.0,0,0.0,10,8.022355975924334,10.0,2.752,1.1400000000000006,0.0
240810,원익IPS,KOSDAQ GLOBAL,170300.0,12.26,8761476328500.0,39.66,3.41,1712.0,159680.0,147765.0,True,True,False,True,True,5,False,0.8266333847181606,-7.092198581560284,73.95301327885598,65.2,49.7,20.0,0,0.0,10,6.453900709219857,10.0,0.09066666666666734,3.18,0.0
000660,SK하이닉스,KOSPI,2598000.0,0.3,1878683434140000.0,11.04,3.73,58955.0,2679200.0,2433150.0,True,True,False,True,True,5,False,0.2943034671225835,-13.02310010043522,10.084745762711854,64.4,48.8,20.0,0,0.0,10,3.4884499497823898,5.042372881355927,7.722666666666667,2.54,0.0
005930,삼성전자,KOSPI,329250.0,2.79,1940964497856000.0,18.27,1.87,6564.0,338150.0,333987.5,True,True,False,True,True,5,False,0.28667376903462477,-12.082777036048064,-8.668515950069345,56.4,46.0,20.0,0,0.0,10,3.958611481975968,0.0,5.794666666666666,6.26,0.0
