ticker,name,market,close,change_pct,marcap,per,pbr,eps,ma5,ma20,golden_cross,near_52w_high,volume_surge,per_ok,pbr_ok,foreign_consec,inst_turn,vol_ratio,pct_from_52w_high,momentum_20d,rsi,score,score_foreign_consec,score_inst_turn,score_volume_surge,score_golden_cross,score_near_52w_high,score_momentum_20d,score_per_score,score_pbr_score,score_eps_growth
34730,SK,KOSPI,720000.0,0.99,51621924536000.0,11.73,0.56,21863.0,713200.0,658805.2631578947,True,True,False,True,True,5,False,0.46066817892938344,-0.4975124378109293,21.130551816958288,100.0,62.4,20.0,0,0.0,10,9.751243781094535,10.0,7.538666666666667,5.12,0.0
319660,피에스케이,KOSDAQ,161600.0,5.45,4877994637600.0,13.61,1.98,2712.0,167700.0,141633.94736842107,True,True,False,True,True,5,False,0.2421510223522257,-7.482151955985305,39.03467263185063,78.9,59.3,20.0,0,0.0,10,6.258924022007347,10.0,7.037333333333334,6.04,0.0
28260,삼성물산,KOSPI,491000.0,7.91,79624282271000.0,16.91,0.79,14165.0,488600.0,460581.5789473684,True,True,False,True,True,5,False,0.6413881892294924,-0.49751243781093357,14.706225908188287,100.0,58.8,20.0,0,0.0,10,9.751243781094534,7.353112954094144,6.157333333333334,5.58,0.0
660,SK하이닉스,KOSPI,2611000.0,3.68,1887948564885000.0,11.04,3.73,58955.0,2706800.0,2392707.8947368423,True,True,False,True,True,5,False,0.43815628169293447,-7.300008911412379,24.357020384835202,74.8,56.6,20.0,0,0.0,10,6.349995544293811,10.0,7.722666666666667,2.54,0.0
3490,대한항공,KOSPI,27050.0,1.74,9702614417350.0,10.68,0.76,2111.0,27360.0,26705.92105263158,True,True,False,True,True,5,False,0.3668351103606349,-2.7270585993055994,3.402140672782883,67.3,53.7,20.0,0,0.0,10,8.6364707003472,1.7010703363914415,7.818666666666667,5.5200000000000005,0.0
80220,제주반도체,KOSDAQ,113600.0,6.86,4078031427200.0,22.97,3.91,1147.0,118080.0,107032.1052631579,True,True,False,True,True,5,False,0.4586936913205282,-7.7718457321746275,16.66837835062134,70.0,51.2,20.0,0,0.0,10,6.114077133912686,8.33418917531067,4.541333333333334,2.1799999999999997,0.0
32830,삼성생명,KOSPI,430000.0,2.71,87300000000000.0,13.69,0.45,11514.0,454300.0,421888.1578947368,True,True,False,True,True,5,False,0.4331693504708725,-10.601609586833893,7.486564179477573,59.3,50.4,20.0,0,0.0,10,4.699195206583053,3.7432820897387864,7.016,4.8999999999999995,0.0
5930,삼성전자,KOSPI,328500.0,6.61,1932195079944000.0,18.27,1.87,6564.0,341700.0,332747.36842105264,True,True,False,True,True,5,False,0.5275769668338239,-7.89921903584359,-0.6051437216338829,48.6,48.1,20.0,0,0.0,10,6.050390482078205,0.0,5.794666666666666,6.26,0.0
810,삼성화재,KOSPI,634000.0,-3.72,27770728206000.0,12.21,0.99,40703.0,673000.0,660092.105263158,True,True,False,True,True,5,False,0.27254228200896613,-11.398065850522652,-5.160807778608822,42.2,47.7,20.0,0,0.0,10,4.300967074738674,0.0,7.410666666666667,5.98,0.0
9150,삼성전기,KOSPI,1987000.0,2.66,152599220928000.0,28.02,2.02,9099.0,2135000.0,1970426.3157894737,True,True,False,True,True,5,False,0.30467831340475493,-13.398404386303245,6.0355408506323815,56.2,45.5,20.0,0,0.0,10,3.3007978068483776,3.0177704253161908,3.1946666666666665,5.96,0.0
