ticker,name,market,close,change_pct,marcap,per,pbr,eps,ma5,ma20,golden_cross,near_52w_high,volume_surge,per_ok,pbr_ok,foreign_consec,inst_turn,vol_ratio,pct_from_52w_high,momentum_20d,rsi,score,score_foreign_consec,score_inst_turn,score_volume_surge,score_golden_cross,score_near_52w_high,score_momentum_20d,score_per_score,score_pbr_score,score_eps_growth
138040,메리츠금융지주,KOSPI,132400.0,-1.02,22675555491500.0,8.91,1.84,12698.0,132000.0,122542.1052631579,True,True,False,True,True,5,False,0.137437174686793,-0.4975124378109453,18.4257602862254,100.0,63.0,20.0,0,0.0,10,9.751243781094526,9.2128801431127,7.709333333333333,6.319999999999999,0.0
175330,JB금융지주,KOSPI,31300.0,-1.9,5782176544000.0,6.96,0.81,3688.0,30740.0,28623.421052631584,True,True,False,True,True,5,False,0.18541967116698851,-0.49751243781093374,20.63981499325496,100.0,62.6,20.0,0,0.0,10,9.751243781094534,10.0,7.189333333333334,5.620000000000001,0.0
105560,KB금융,KOSPI,174700.0,-3.32,61006290248000.0,8.25,0.76,15116.0,172980.0,168590.52631578947,True,True,False,True,True,5,False,0.14115786444399875,-0.4975124378109288,7.368938602421493,97.0,56.5,20.0,0,0.0,10,9.751243781094535,3.6844693012107466,7.533333333333333,5.5200000000000005,0.0
161890,한국콜마,KOSPI,145900.0,-3.19,3441620226600.0,11.72,1.61,5299.0,150460.0,142028.42105263157,True,True,False,True,True,5,False,0.17194741857972926,-6.351355081128982,7.818504286136574,65.0,55.1,20.0,0,0.0,10,6.824322459435509,3.909252143068287,7.541333333333333,6.779999999999999,0.0
192820,코스맥스,KOSPI,277500.0,-2.3,3126789729500.0,15.03,3.31,10843.0,281500.0,268197.36842105264,True,True,False,True,True,5,False,0.12841985139321027,-3.2856732101314594,8.504398826979465,75.0,52.6,20.0,0,0.0,10,8.35716339493427,4.252199413489732,6.658666666666667,3.38,0.0
316140,우리금융지주,KOSPI,33500.0,-4.18,24461313692400.0,6.63,0.57,4221.0,34080.0,33469.73684210527,True,True,False,True,True,5,False,0.20110349089331372,-3.8276591652240697,1.116812556595237,55.3,50.9,20.0,0,0.0,10,8.086170417387965,0.5584062782976185,7.101333333333333,5.14,0.0
31980,피에스케이홀딩스,KOSDAQ,155100.0,11.2,3104984880000.0,10.89,1.97,4252.0,134760.0,115871.84210526315,True,True,False,True,True,0,False,0.7121891332258385,-0.4975124378109267,86.82245242110336,77.5,43.6,0.0,0,0.0,10,9.751243781094537,10.0,7.762666666666666,6.06,0.0
3490,대한항공,KOSPI,30250.0,3.6,11120263962200.0,10.68,0.76,2111.0,29450.0,27267.105263157893,True,True,False,True,True,0,False,0.5396155750663335,-0.4975124378109334,24.102564102564106,98.8,43.1,0.0,0,0.0,10,9.751243781094534,10.0,7.818666666666667,5.5200000000000005,0.0
8930,한미사이언스,KOSPI,50500.0,2.52,3611073840000.0,20.94,2.55,1731.0,49680.0,46517.368421052626,True,True,False,True,True,0,False,0.24735175619175115,-0.497512437810931,18.753674309229872,100.0,39.1,0.0,0,0.0,10,9.751243781094534,9.376837154614936,5.082666666666666,4.9,0.0
78930,GS,KOSPI,124700.0,4.21,11509751830500.0,6.68,0.36,8434.0,122440.0,117067.63157894737,True,True,False,True,True,0,False,0.1182170984823525,-0.49751243781093374,13.59081799963564,95.1,38.4,0.0,0,0.0,10,9.751243781094534,6.79540899981782,7.1146666666666665,4.72,0.0
55550,신한지주,KOSPI,112600.0,-3.67,51780361361700.0,7.62,0.63,10085.0,111800.0,107521.05263157895,True,True,False,True,True,0,False,0.15999555763926085,-0.4975124378109325,10.068426197458447,100.0,37.4,0.0,0,0.0,10,9.751243781094534,5.034213098729223,7.365333333333333,5.26,0.0
86790,하나금융지주,KOSPI,137600.0,-3.73,36847588556400.0,6.67,0.57,14110.0,136740.0,132207.63157894736,True,True,False,True,True,0,False,0.18541506314741718,-0.49751243781092436,8.628720296834302,100.0,36.3,0.0,0,0.0,10,9.751243781094537,4.314360148417151,7.112,5.14,0.0
5830,DB손해보험,KOSPI,191100.0,-3.6,12818418299300.0,5.19,0.73,25263.0,194660.0,182866.84210526317,True,True,False,True,True,0,False,0.15431291021668497,-4.071610467488999,11.208100558659218,75.0,35.7,0.0,0,0.0,10,7.9641947662555,5.604050279329609,6.717333333333333,5.46,0.0
21240,코웨이,KOSPI,97100.0,1.22,7034282144400.0,10.15,1.7,8558.0,98240.0,97546.05263157895,True,True,False,True,True,0,False,0.15322721040055545,-2.780322577092395,-0.34893267651888715,47.3,33.2,0.0,0,0.0,10,8.609838711453802,0.0,7.96,6.6,0.0
810,삼성화재,KOSPI,658000.0,-5.56,29601274599000.0,12.21,0.99,40703.0,671400.0,653865.7894736843,True,True,False,True,True,0,False,0.17752039006847095,-4.391593434695664,2.4602927436935484,58.9,32.4,0.0,0,0.0,10,7.804203282652168,1.2301463718467742,7.410666666666667,5.98,0.0
90430,아모레퍼시픽,KOSPI,140600.0,0.56,8382012364700.0,35.01,1.51,3413.0,143000.0,140669.47368421053,True,True,False,True,True,0,False,0.20832640130044136,-3.782326332573701,0.8029825064525431,54.0,26.8,0.0,0,0.0,10,8.108836833713148,0.40149125322627155,1.3306666666666676,6.9799999999999995,0.0
