ticker,name,market,close,change_pct,marcap,per,pbr,eps,ma5,ma20,golden_cross,near_52w_high,volume_surge,per_ok,pbr_ok,foreign_consec,inst_turn,vol_ratio,pct_from_52w_high,momentum_20d,rsi,score,score_foreign_consec,score_inst_turn,score_volume_surge,score_golden_cross,score_near_52w_high,score_momentum_20d,score_per_score,score_pbr_score,score_eps_growth
192820,코스맥스,KOSPI,303000.0,2.47,3291357610000.0,15.03,3.31,10843.0,289800.0,239645.0,True,True,True,True,True,5,False,1.9013471032331521,-0.9803921568627451,64.04981050351921,86.2,66.3,20.0,0,6.760103274248641,10,9.509803921568627,10.0,6.658666666666667,3.38,0.0
161890,한국콜마,KOSPI,161700.0,3.98,3578529673200.0,11.72,1.61,5299.0,149920.0,125450.0,True,True,False,True,True,5,False,1.0415979475135921,-0.12353304508956146,69.85294117647058,82.4,64.6,20.0,0,0.31198460635194103,10,9.938233477455219,10.0,7.541333333333333,6.779999999999999,0.0
078930,GS,KOSPI,129200.0,5.03,12020677053000.0,6.68,0.36,8434.0,123300.0,108435.0,True,True,False,True,True,5,False,0.9002547530382988,-3.003003003003003,45.1685393258427,76.2,60.3,20.0,0,0.0,10,8.498498498498499,10.0,7.1146666666666665,4.72,0.0
005830,DB손해보험,KOSPI,187400.0,-0.54,11986563867000.0,5.19,0.73,25263.0,184220.0,171235.0,True,True,False,True,True,5,False,0.9891530051396666,-12.429906542056075,19.36305732484076,66.5,55.6,20.0,0,0.0,10,3.7850467289719623,9.68152866242038,6.717333333333333,5.46,0.0
055550,신한지주,KOSPI,109700.0,-0.74,50700625812000.0,7.62,0.63,10085.0,107140.0,105390.0,True,True,False,True,True,5,False,0.7058973945461704,-3.1774051191526915,8.937437934458782,49.4,55.5,20.0,0,0.0,10,8.411297440423654,4.468718967229391,7.365333333333333,5.26,0.0
021240,코웨이,KOSPI,100400.0,-1.12,6878593807200.0,10.15,1.7,8558.0,98980.0,96020.0,True,True,False,True,True,5,False,0.7126249477164108,-8.142726440988106,9.72677595628415,59.8,55.4,20.0,0,0.0,10,5.928636779505947,4.863387978142075,7.96,6.6,0.0
003490,대한항공,KOSPI,28700.0,1.95,10586344003750.0,10.68,0.76,2111.0,27470.0,26532.5,True,True,False,True,True,5,False,1.0475940972893962,-8.012820512820513,10.81081081081081,62.6,55.1,20.0,0,0.35695572967047173,10,5.993589743589744,5.405405405405405,7.818666666666667,5.5200000000000005,0.0
086790,하나금융지주,KOSPI,136000.0,-0.9,36326289835200.0,6.67,0.57,14110.0,132460.0,129960.0,True,True,False,True,True,5,False,0.7020380448559901,-4.56140350877193,8.452950558213711,51.9,54.2,20.0,0,0.0,10,7.719298245614034,4.226475279106856,7.112,5.14,0.0
012750,에스원,KOSPI,83500.0,-6.2,3047534075600.0,15.34,1.39,4699.0,81600.0,77015.0,True,True,False,True,True,5,False,1.2147674412552116,-18.932038834951456,17.2752808988764,68.6,54.1,20.0,0,1.6107558094140872,10,0.5339805825242716,8.6376404494382,6.5760000000000005,6.779999999999999,0.0
131290,티에스이,KOSDAQ,238500.0,-4.74,2665804389000.0,16.67,1.63,3456.0,247500.0,232735.0,True,True,False,True,True,5,False,0.7960208162514014,-18.877551020408163,27.813504823151124,60.2,53.5,20.0,0,0.0,10,0.5612244897959184,10.0,6.221333333333333,6.74,0.0
000810,삼성화재,KOSPI,687000.0,-2.05,29824511964000.0,12.21,0.99,40703.0,666600.0,638900.0,True,True,False,True,True,5,False,0.7727323836332632,-9.247027741083222,8.702531645569621,60.1,53.1,20.0,0,0.0,10,5.376486129458389,4.351265822784811,7.410666666666667,5.98,0.0
090430,아모레퍼시픽,KOSPI,150600.0,2.18,8510696434500.0,35.01,1.51,3413.0,143940.0,137060.0,True,True,False,True,True,5,False,1.2791161697958644,-10.88757396449704,15.846153846153843,62.4,52.9,20.0,0,2.093371273468983,10,4.55621301775148,7.923076923076922,1.3306666666666676,6.9799999999999995,0.0
181710,NHN,KOSPI,69700.0,2.0,2341849438500.0,30.44,0.61,954.0,68220.0,58875.0,True,True,False,True,True,5,False,0.30106217366133786,-10.869565217391305,87.87061994609164,72.4,52.3,20.0,0,0.0,10,4.565217391304348,10.0,2.5493333333333332,5.220000000000001,0.0
006360,GS건설,KOSPI,37150.0,-2.03,3093770863500.0,18.03,0.35,1093.0,36150.0,33322.5,True,True,False,True,True,5,False,0.43964044206405944,-17.16833890746934,58.4221748400853,67.9,52.0,20.0,0,0.0,10,1.4158305462653298,10.0,5.858666666666666,4.7,0.0
028670,팬오션,KOSPI,5790.0,2.31,3073774694000.0,6.83,0.36,564.0,5944.0,5800.75,True,True,False,True,True,5,False,0.46416995051838766,-12.272727272727273,5.850091407678248,45.4,48.7,20.0,0,0.0,10,3.8636363636363633,2.925045703839124,7.1546666666666665,4.72,0.0
011200,HMM,KOSPI,21700.0,-0.47,20138130659500.0,10.49,0.73,1955.0,22000.0,21555.0,True,True,False,True,True,5,False,0.4520518746141053,-13.026052104208416,3.5799522673030992,49.4,48.6,20.0,0,0.0,10,3.486973947895792,1.7899761336515496,7.8693333333333335,5.46,0.0
139130,iM금융지주,KOSPI,18120.0,-1.24,2769776005920.0,5.77,0.4,2696.0,17622.0,17330.0,True,True,False,True,True,5,False,0.7018047141509779,-17.636363636363637,6.90265486725663,53.6,46.3,20.0,0,0.0,10,1.1818181818181817,3.451327433628315,6.872,4.8,0.0
